city,city_ibge_code,date,estimated_population_2019,is_repeated,is_last,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,place_type,state,new_confirmed,new_deaths
São Paulo,3550308,2020-02-25,12252023,False,False,1,0.00816,2020-02-25,,,city,SP,0,0
São Paulo,3550308,2020-02-26,12252023,True,False,1,0.00816,2020-02-25,,,city,SP,0,0
São Paulo,3550308,2020-02-27,12252023,False,False,1,0.00816,2020-02-27,,,city,SP,0,0
São Paulo,3550308,2020-02-28,12252023,False,False,2,0.01632,2020-02-28,,,city,SP,1,0
São Paulo,3550308,2020-02-29,12252023,False,False,2,0.01632,2020-02-29,,,city,SP,0,0
São Paulo,3550308,2020-03-01,12252023,False,False,2,0.01632,2020-03-01,,,city,SP,0,0
São Paulo,3550308,2020-03-02,12252023,False,False,2,0.01632,2020-03-02,,,city,SP,0,0
São Paulo,3550308,2020-03-03,12252023,False,False,2,0.01632,2020-03-03,,,city,SP,0,0
São Paulo,3550308,2020-03-04,12252023,False,False,3,0.02449,2020-03-04,,,city,SP,1,0
Barra Mansa,3300407,2020-03-05,184412,False,False,1,0.54226,2020-03-05,,0,city,RJ,1,0
São Paulo,3550308,2020-03-05,12252023,False,False,6,0.04897,2020-03-05,,,city,SP,3,0
Feira de Santana,2910800,2020-03-06,614872,False,False,1,0.16264,2020-03-06,,0,city,BA,1,0
Barra Mansa,3300407,2020-03-06,184412,False,False,1,0.54226,2020-03-06,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-06,6718903,False,False,1,0.01488,2020-03-06,,0,city,RJ,1,0
São Paulo,3550308,2020-03-06,12252023,True,False,6,0.04897,2020-03-05,,,city,SP,0,0
Feira de Santana,2910800,2020-03-07,614872,False,False,2,0.32527,2020-03-07,,0,city,BA,1,0
Brasília,5300108,2020-03-07,3015268,False,False,1,0.03316,2020-03-07,,0,city,DF,1,0
Barra Mansa,3300407,2020-03-07,184412,True,False,1,0.54226,2020-03-06,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-07,6718903,True,False,1,0.01488,2020-03-06,,0,city,RJ,0,0
Santana de Parnaíba,3547304,2020-03-07,139447,False,False,1,0.71712,2020-03-07,,,city,SP,1,0
São Paulo,3550308,2020-03-07,12252023,False,False,12,0.09794,2020-03-07,,,city,SP,6,0
Maceió,2704302,2020-03-08,1018948,False,False,1,0.09814,2020-03-08,,0,city,AL,1,0
Feira de Santana,2910800,2020-03-08,614872,True,False,2,0.32527,2020-03-07,,0,city,BA,0,0
Brasília,5300108,2020-03-08,3015268,False,False,1,0.03316,2020-03-08,,0,city,DF,0,0
Divinópolis,3122306,2020-03-08,238230,False,False,1,0.41976,2020-03-08,,0,city,MG,1,0
Barra Mansa,3300407,2020-03-08,184412,False,False,1,0.54226,2020-03-08,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-08,6718903,False,False,2,0.02977,2020-03-08,,0,city,RJ,1,0
Santana de Parnaíba,3547304,2020-03-08,139447,False,False,1,0.71712,2020-03-08,,,city,SP,0,0
São Paulo,3550308,2020-03-08,12252023,False,False,15,0.12243,2020-03-08,,,city,SP,3,0
Maceió,2704302,2020-03-09,1018948,False,False,1,0.09814,2020-03-09,,0,city,AL,0,0
Feira de Santana,2910800,2020-03-09,614872,False,False,2,0.32527,2020-03-09,,0,city,BA,0,0
Brasília,5300108,2020-03-09,3015268,False,False,1,0.03316,2020-03-09,,0,city,DF,0,0
Divinópolis,3122306,2020-03-09,238230,False,False,1,0.41976,2020-03-09,,0,city,MG,0,0
Barra Mansa,3300407,2020-03-09,184412,True,False,1,0.54226,2020-03-08,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-09,6718903,True,False,2,0.02977,2020-03-08,,0,city,RJ,0,0
Santana de Parnaíba,3547304,2020-03-09,139447,False,False,1,0.71712,2020-03-09,,,city,SP,0,0
São Paulo,3550308,2020-03-09,12252023,False,False,15,0.12243,2020-03-09,,,city,SP,0,0
Maceió,2704302,2020-03-10,1018948,False,False,1,0.09814,2020-03-10,,0,city,AL,0,0
Feira de Santana,2910800,2020-03-10,614872,False,False,2,0.32527,2020-03-10,,0,city,BA,0,0
Brasília,5300108,2020-03-10,3015268,False,False,1,0.03316,2020-03-10,,0,city,DF,0,0
Divinópolis,3122306,2020-03-10,238230,False,False,1,0.41976,2020-03-10,,0,city,MG,0,0
Barra Mansa,3300407,2020-03-10,184412,True,False,1,0.54226,2020-03-08,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-10,6718903,True,False,2,0.02977,2020-03-08,,0,city,RJ,0,0
Campo Bom,4303905,2020-03-10,66712,False,False,1,1.49898,2020-03-10,,0,city,RS,1,0
Santana de Parnaíba,3547304,2020-03-10,139447,False,False,1,0.71712,2020-03-10,,,city,SP,0,0
São Paulo,3550308,2020-03-10,12252023,False,False,18,0.14691,2020-03-10,,,city,SP,3,0
Maceió,2704302,2020-03-11,1018948,True,False,1,0.09814,2020-03-10,,0,city,AL,0,0
Feira de Santana,2910800,2020-03-11,614872,False,False,3,0.48791,2020-03-11,,0,city,BA,1,0
Brasília,5300108,2020-03-11,3015268,False,False,2,0.06633,2020-03-11,,0,city,DF,1,0
Divinópolis,3122306,2020-03-11,238230,False,False,1,0.41976,2020-03-11,,0,city,MG,0,0
Barra Mansa,3300407,2020-03-11,184412,True,False,1,0.54226,2020-03-08,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-11,6718903,True,False,2,0.02977,2020-03-08,,0,city,RJ,0,0
Campo Bom,4303905,2020-03-11,66712,False,False,1,1.49898,2020-03-11,,0,city,RS,0,0
Porto Alegre,4314902,2020-03-11,1483771,False,False,1,0.0674,2020-03-11,,0,city,RS,1,0
Santana de Parnaíba,3547304,2020-03-11,139447,False,False,1,0.71712,2020-03-11,,,city,SP,0,0
São Paulo,3550308,2020-03-11,12252023,False,False,29,0.2367,2020-03-11,,,city,SP,11,0
Maceió,2704302,2020-03-12,1018948,False,False,1,0.09814,2020-03-12,,0,city,AL,0,0
Feira de Santana,2910800,2020-03-12,614872,False,False,3,0.48791,2020-03-12,,0,city,BA,0,0
Brasília,5300108,2020-03-12,3015268,False,False,2,0.06633,2020-03-12,,0,city,DF,0,0
Goiânia,5208707,2020-03-12,1516113,False,False,2,0.13192,2020-03-12,,0,city,GO,2,0
Rio Verde,5218805,2020-03-12,235647,False,False,1,0.42436,2020-03-12,,0,city,GO,1,0
Divinópolis,3122306,2020-03-12,238230,False,False,1,0.41976,2020-03-12,,0,city,MG,0,0
Ipatinga,3131307,2020-03-12,263410,False,False,1,0.37964,2020-03-12,,0,city,MG,1,0
Recife,2611606,2020-03-12,1645727,False,False,2,0.12153,2020-03-12,,,city,PE,2,0
Cianorte,4105508,2020-03-12,82620,False,False,1,1.21036,2020-03-12,,0,city,PR,1,0
Curitiba,4106902,2020-03-12,1933105,False,False,5,0.25865,2020-03-12,,0,city,PR,5,0
Barra Mansa,3300407,2020-03-12,184412,False,False,1,0.54226,2020-03-12,,0,city,RJ,0,0
Niterói,3303302,2020-03-12,513584,False,False,1,0.19471,2020-03-12,,0,city,RJ,1,0
Rio de Janeiro,3304557,2020-03-12,6718903,False,False,13,0.19348,2020-03-12,,0,city,RJ,11,0
Natal,2408102,2020-03-12,884122,False,False,1,0.11311,2020-03-12,,0,city,RN,1,0
Campo Bom,4303905,2020-03-12,66712,False,False,1,1.49898,2020-03-12,,0,city,RS,0,0
Caxias do Sul,4305108,2020-03-12,510906,False,False,1,0.19573,2020-03-12,,0,city,RS,1,0
Porto Alegre,4314902,2020-03-12,1483771,False,False,2,0.13479,2020-03-12,,0,city,RS,1,0
Florianópolis,4205407,2020-03-12,500973,False,False,2,0.39922,2020-03-12,,0,city,SC,2,0
Ferraz de Vasconcelos,3515707,2020-03-12,194276,False,False,1,0.51473,2020-03-12,,,city,SP,1,0
Santana de Parnaíba,3547304,2020-03-12,139447,False,False,1,0.71712,2020-03-12,,,city,SP,0,0
São Paulo,3550308,2020-03-12,12252023,False,False,44,0.35912,2020-03-12,,,city,SP,15,0
Maceió,2704302,2020-03-13,1018948,False,False,1,0.09814,2020-03-13,,0,city,AL,0,0
Importados/Indefinidos,,2020-03-13,,False,False,1,,2020-03-13,,,city,AM,1,0
Feira de Santana,2910800,2020-03-13,614872,False,False,4,0.65054,2020-03-13,,0,city,BA,1,0
Salvador,2927408,2020-03-13,2872347,False,False,3,0.10444,2020-03-13,,0,city,BA,3,0
Brasília,5300108,2020-03-13,3015268,False,False,2,0.06633,2020-03-13,,0,city,DF,0,0
Goiânia,5208707,2020-03-13,1516113,False,False,2,0.13192,2020-03-13,,0,city,GO,0,0
Rio Verde,5218805,2020-03-13,235647,False,False,1,0.42436,2020-03-13,,0,city,GO,0,0
Divinópolis,3122306,2020-03-13,238230,False,False,1,0.41976,2020-03-13,,0,city,MG,0,0
Ipatinga,3131307,2020-03-13,263410,False,False,1,0.37964,2020-03-13,,0,city,MG,0,0
Recife,2611606,2020-03-13,1645727,False,False,2,0.12153,2020-03-13,,,city,PE,0,0
Cianorte,4105508,2020-03-13,82620,False,False,1,1.21036,2020-03-13,,0,city,PR,0,0
Curitiba,4106902,2020-03-13,1933105,False,False,5,0.25865,2020-03-13,,0,city,PR,0,0
Barra Mansa,3300407,2020-03-13,184412,True,False,1,0.54226,2020-03-12,,0,city,RJ,0,0
Niterói,3303302,2020-03-13,513584,True,False,1,0.19471,2020-03-12,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-13,6718903,True,False,13,0.19348,2020-03-12,,0,city,RJ,0,0
Natal,2408102,2020-03-13,884122,False,False,1,0.11311,2020-03-13,,0,city,RN,0,0
Campo Bom,4303905,2020-03-13,66712,False,False,1,1.49898,2020-03-13,,0,city,RS,0,0
Caxias do Sul,4305108,2020-03-13,510906,False,False,1,0.19573,2020-03-13,,0,city,RS,0,0
Porto Alegre,4314902,2020-03-13,1483771,False,False,2,0.13479,2020-03-13,,0,city,RS,0,0
Florianópolis,4205407,2020-03-13,500973,False,False,2,0.39922,2020-03-13,,0,city,SC,0,0
Joinville,4209102,2020-03-13,590466,False,False,1,0.16936,2020-03-13,,0,city,SC,1,0
Ferraz de Vasconcelos,3515707,2020-03-13,194276,True,False,1,0.51473,2020-03-12,,,city,SP,0,0
Santana de Parnaíba,3547304,2020-03-13,139447,True,False,1,0.71712,2020-03-12,,,city,SP,0,0
São Paulo,3550308,2020-03-13,12252023,True,False,44,0.35912,2020-03-12,,,city,SP,0,0
Maceió,2704302,2020-03-14,1018948,True,False,1,0.09814,2020-03-13,,0,city,AL,0,0
Importados/Indefinidos,,2020-03-14,,True,False,1,,2020-03-13,,,city,AM,0,0
Feira de Santana,2910800,2020-03-14,614872,True,False,4,0.65054,2020-03-13,,0,city,BA,0,0
Salvador,2927408,2020-03-14,2872347,True,False,3,0.10444,2020-03-13,,0,city,BA,0,0
Brasília,5300108,2020-03-14,3015268,False,False,8,0.26532,2020-03-14,,0,city,DF,6,0
Goiânia,5208707,2020-03-14,1516113,False,False,3,0.19787,2020-03-14,,0,city,GO,1,0
Rio Verde,5218805,2020-03-14,235647,False,False,1,0.42436,2020-03-14,,0,city,GO,0,0
Divinópolis,3122306,2020-03-14,238230,False,False,1,0.41976,2020-03-14,,0,city,MG,0,0
Ipatinga,3131307,2020-03-14,263410,False,False,1,0.37964,2020-03-14,,0,city,MG,0,0
Juiz de Fora,3136702,2020-03-14,568873,False,False,1,0.17579,2020-03-14,,0,city,MG,1,0
Patrocínio,3148103,2020-03-14,90757,False,False,1,1.10184,2020-03-14,,0,city,MG,1,0
Campo Grande,5002704,2020-03-14,895982,False,False,2,0.22322,2020-03-14,,0,city,MS,2,0
Importados/Indefinidos,,2020-03-14,,False,False,1,,2020-03-14,,,city,PE,1,0
Recife,2611606,2020-03-14,1645727,False,False,6,0.36458,2020-03-14,,,city,PE,4,0
Cianorte,4105508,2020-03-14,82620,True,False,1,1.21036,2020-03-13,,0,city,PR,0,0
Curitiba,4106902,2020-03-14,1933105,True,False,5,0.25865,2020-03-13,,0,city,PR,0,0
Barra Mansa,3300407,2020-03-14,184412,True,False,1,0.54226,2020-03-12,,0,city,RJ,0,0
Niterói,3303302,2020-03-14,513584,True,False,1,0.19471,2020-03-12,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-14,6718903,True,False,13,0.19348,2020-03-12,,0,city,RJ,0,0
Natal,2408102,2020-03-14,884122,True,False,1,0.11311,2020-03-13,,0,city,RN,0,0
Campo Bom,4303905,2020-03-14,66712,True,False,1,1.49898,2020-03-13,,0,city,RS,0,0
Caxias do Sul,4305108,2020-03-14,510906,True,False,1,0.19573,2020-03-13,,0,city,RS,0,0
Porto Alegre,4314902,2020-03-14,1483771,True,False,2,0.13479,2020-03-13,,0,city,RS,0,0
Florianópolis,4205407,2020-03-14,500973,False,False,2,0.39922,2020-03-14,,0,city,SC,0,0
Joinville,4209102,2020-03-14,590466,False,False,1,0.16936,2020-03-14,,0,city,SC,0,0
Rancho Queimado,4214300,2020-03-14,2878,False,False,2,69.4927,2020-03-14,,0,city,SC,2,0
Aracaju,2800308,2020-03-14,657013,False,False,1,0.1522,2020-03-14,,0,city,SE,1,0
Carapicuíba,3510609,2020-03-14,400927,False,False,1,0.24942,2020-03-14,,,city,SP,1,0
Ferraz de Vasconcelos,3515707,2020-03-14,194276,False,False,1,0.51473,2020-03-14,,,city,SP,0,0
Santana de Parnaíba,3547304,2020-03-14,139447,False,False,1,0.71712,2020-03-14,,,city,SP,0,0
São Paulo,3550308,2020-03-14,12252023,False,False,62,0.50604,2020-03-14,,,city,SP,18,0
Maceió,2704302,2020-03-15,1018948,True,False,1,0.09814,2020-03-13,,0,city,AL,0,0
Importados/Indefinidos,,2020-03-15,,True,False,1,,2020-03-13,,,city,AM,0,0
Feira de Santana,2910800,2020-03-15,614872,False,False,5,0.81318,2020-03-15,,0,city,BA,1,0
Salvador,2927408,2020-03-15,2872347,False,False,4,0.13926,2020-03-15,,0,city,BA,1,0
Brasília,5300108,2020-03-15,3015268,False,False,14,0.4643,2020-03-15,,0,city,DF,6,0
Goiânia,5208707,2020-03-15,1516113,False,False,3,0.19787,2020-03-15,,0,city,GO,0,0
Rio Verde,5218805,2020-03-15,235647,False,False,1,0.42436,2020-03-15,,0,city,GO,0,0
Divinópolis,3122306,2020-03-15,238230,True,False,1,0.41976,2020-03-14,,0,city,MG,0,0
Ipatinga,3131307,2020-03-15,263410,True,False,1,0.37964,2020-03-14,,0,city,MG,0,0
Juiz de Fora,3136702,2020-03-15,568873,True,False,1,0.17579,2020-03-14,,0,city,MG,0,0
Patrocínio,3148103,2020-03-15,90757,True,False,1,1.10184,2020-03-14,,0,city,MG,0,0
Campo Grande,5002704,2020-03-15,895982,False,False,2,0.22322,2020-03-15,,0,city,MS,0,0
Importados/Indefinidos,,2020-03-15,,False,False,1,,2020-03-15,,,city,PE,0,0
Recife,2611606,2020-03-15,1645727,False,False,7,0.42534,2020-03-15,,,city,PE,1,0
Cianorte,4105508,2020-03-15,82620,True,False,1,1.21036,2020-03-13,,0,city,PR,0,0
Curitiba,4106902,2020-03-15,1933105,True,False,5,0.25865,2020-03-13,,0,city,PR,0,0
Barra Mansa,3300407,2020-03-15,184412,False,False,1,0.54226,2020-03-15,,0,city,RJ,0,0
Niterói,3303302,2020-03-15,513584,False,False,1,0.19471,2020-03-15,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-15,6718903,False,False,22,0.32743,2020-03-15,,0,city,RJ,9,0
Natal,2408102,2020-03-15,884122,True,False,1,0.11311,2020-03-13,,0,city,RN,0,0
Campo Bom,4303905,2020-03-15,66712,True,False,1,1.49898,2020-03-13,,0,city,RS,0,0
Caxias do Sul,4305108,2020-03-15,510906,True,False,1,0.19573,2020-03-13,,0,city,RS,0,0
Porto Alegre,4314902,2020-03-15,1483771,True,False,2,0.13479,2020-03-13,,0,city,RS,0,0
Braço do Norte,4202800,2020-03-15,33450,False,False,1,2.98954,2020-03-15,,0,city,SC,1,0
Florianópolis,4205407,2020-03-15,500973,False,False,2,0.39922,2020-03-15,,0,city,SC,0,0
Joinville,4209102,2020-03-15,590466,False,False,1,0.16936,2020-03-15,,0,city,SC,0,0
Rancho Queimado,4214300,2020-03-15,2878,False,False,2,69.4927,2020-03-15,,0,city,SC,0,0
Aracaju,2800308,2020-03-15,657013,True,False,1,0.1522,2020-03-14,,0,city,SE,0,0
Carapicuíba,3510609,2020-03-15,400927,True,False,1,0.24942,2020-03-14,,,city,SP,0,0
Ferraz de Vasconcelos,3515707,2020-03-15,194276,True,False,1,0.51473,2020-03-14,,,city,SP,0,0
Santana de Parnaíba,3547304,2020-03-15,139447,True,False,1,0.71712,2020-03-14,,,city,SP,0,0
São Paulo,3550308,2020-03-15,12252023,True,False,62,0.50604,2020-03-14,,,city,SP,0,0
Maceió,2704302,2020-03-16,1018948,False,False,1,0.09814,2020-03-16,,0,city,AL,0,0
Importados/Indefinidos,,2020-03-16,,True,False,1,,2020-03-13,,,city,AM,0,0
Feira de Santana,2910800,2020-03-16,614872,False,False,5,0.81318,2020-03-16,,0,city,BA,0,0
Porto Seguro,2925303,2020-03-16,148686,False,False,1,0.67256,2020-03-16,,0,city,BA,1,0
Salvador,2927408,2020-03-16,2872347,False,False,4,0.13926,2020-03-16,,0,city,BA,0,0
Aquiraz,2301000,2020-03-16,80271,False,False,1,1.24578,2020-03-16,,0,city,CE,1,0
Fortaleza,2304400,2020-03-16,2669342,False,False,8,0.2997,2020-03-16,,0,city,CE,8,0
Brasília,5300108,2020-03-16,3015268,False,False,19,0.63013,2020-03-16,,0,city,DF,5,0
Anápolis,5201108,2020-03-16,386923,False,False,2,0.5169,2020-03-16,,0,city,GO,2,0
Goiânia,5208707,2020-03-16,1516113,False,False,5,0.32979,2020-03-16,,0,city,GO,2,0
Rio Verde,5218805,2020-03-16,235647,False,False,2,0.84873,2020-03-16,,0,city,GO,1,0
Belo Horizonte,3106200,2020-03-16,2512070,False,False,1,0.03981,2020-03-16,,0,city,MG,1,0
Divinópolis,3122306,2020-03-16,238230,False,False,1,0.41976,2020-03-16,,0,city,MG,0,0
Ipatinga,3131307,2020-03-16,263410,False,False,1,0.37964,2020-03-16,,0,city,MG,0,0
Juiz de Fora,3136702,2020-03-16,568873,False,False,2,0.35157,2020-03-16,,0,city,MG,1,0
Patrocínio,3148103,2020-03-16,90757,False,False,1,1.10184,2020-03-16,,0,city,MG,0,0
Campo Grande,5002704,2020-03-16,895982,False,False,4,0.44644,2020-03-16,,0,city,MS,2,0
Importados/Indefinidos,,2020-03-16,,True,False,1,,2020-03-15,,,city,PE,0,0
Recife,2611606,2020-03-16,1645727,True,False,7,0.42534,2020-03-15,,,city,PE,0,0
Cianorte,4105508,2020-03-16,82620,False,False,1,1.21036,2020-03-16,,0,city,PR,0,0
Curitiba,4106902,2020-03-16,1933105,False,False,5,0.25865,2020-03-16,,0,city,PR,0,0
Barra Mansa,3300407,2020-03-16,184412,False,False,1,0.54226,2020-03-16,,0,city,RJ,0,0
Niterói,3303302,2020-03-16,513584,False,False,1,0.19471,2020-03-16,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-16,6718903,False,False,23,0.34232,2020-03-16,,0,city,RJ,1,0
Natal,2408102,2020-03-16,884122,False,False,1,0.11311,2020-03-16,,0,city,RN,0,0
Campo Bom,4303905,2020-03-16,66712,False,False,1,1.49898,2020-03-16,,0,city,RS,0,0
Caxias do Sul,4305108,2020-03-16,510906,False,False,1,0.19573,2020-03-16,,0,city,RS,0,0
Porto Alegre,4314902,2020-03-16,1483771,False,False,6,0.40438,2020-03-16,,0,city,RS,4,0
Braço do Norte,4202800,2020-03-16,33450,False,False,1,2.98954,2020-03-16,,0,city,SC,0,0
Florianópolis,4205407,2020-03-16,500973,False,False,3,0.59883,2020-03-16,,0,city,SC,1,0
Joinville,4209102,2020-03-16,590466,False,False,1,0.16936,2020-03-16,,0,city,SC,0,0
Rancho Queimado,4214300,2020-03-16,2878,False,False,2,69.4927,2020-03-16,,0,city,SC,0,0
Aracaju,2800308,2020-03-16,657013,False,False,5,0.76102,2020-03-16,,,city,SE,4,0
Carapicuíba,3510609,2020-03-16,400927,False,False,1,0.24942,2020-03-16,,,city,SP,0,0
Ferraz de Vasconcelos,3515707,2020-03-16,194276,False,False,1,0.51473,2020-03-16,,,city,SP,0,0
Mauá,3529401,2020-03-16,472912,False,False,1,0.21146,2020-03-16,,,city,SP,1,0
Santana de Parnaíba,3547304,2020-03-16,139447,False,False,1,0.71712,2020-03-16,,,city,SP,0,0
Santo André,3547809,2020-03-16,718773,False,False,1,0.13913,2020-03-16,,,city,SP,1,0
São Bernardo do Campo,3548708,2020-03-16,838936,False,False,1,0.1192,2020-03-16,,,city,SP,1,0
São Caetano do Sul,3548807,2020-03-16,161127,False,False,1,0.62063,2020-03-16,,,city,SP,1,0
São Paulo,3550308,2020-03-16,12252023,False,False,145,1.18348,2020-03-16,,,city,SP,83,0
Rio Branco,1200401,2020-03-17,407319,False,False,3,0.73652,2020-03-17,,0,city,AC,3,0
Maceió,2704302,2020-03-17,1018948,False,False,1,0.09814,2020-03-17,,0,city,AL,0,0
Importados/Indefinidos,,2020-03-17,,True,False,1,,2020-03-13,,,city,AM,0,0
Feira de Santana,2910800,2020-03-17,614872,False,False,5,0.81318,2020-03-17,,0,city,BA,0,0
Porto Seguro,2925303,2020-03-17,148686,False,False,3,2.01767,2020-03-17,,0,city,BA,2,0
Prado,2925501,2020-03-17,28174,False,False,1,3.54937,2020-03-17,,0,city,BA,1,0
Salvador,2927408,2020-03-17,2872347,False,False,5,0.17407,2020-03-17,,0,city,BA,1,0
Aquiraz,2301000,2020-03-17,80271,False,False,1,1.24578,2020-03-17,,0,city,CE,0,0
Fortaleza,2304400,2020-03-17,2669342,False,False,9,0.33716,2020-03-17,,0,city,CE,1,0
Brasília,5300108,2020-03-17,3015268,True,False,19,0.63013,2020-03-16,,0,city,DF,0,0
Anápolis,5201108,2020-03-17,386923,False,False,2,0.5169,2020-03-17,,0,city,GO,0,0
Goiânia,5208707,2020-03-17,1516113,False,False,5,0.32979,2020-03-17,,0,city,GO,0,0
Rio Verde,5218805,2020-03-17,235647,False,False,3,1.27309,2020-03-17,,0,city,GO,1,0
Belo Horizonte,3106200,2020-03-17,2512070,False,False,5,0.19904,2020-03-17,,0,city,MG,4,0
Coronel Fabriciano,3119401,2020-03-17,109855,False,False,1,0.91029,2020-03-17,,0,city,MG,1,0
Divinópolis,3122306,2020-03-17,238230,False,False,1,0.41976,2020-03-17,,0,city,MG,0,0
Ipatinga,3131307,2020-03-17,263410,False,False,1,0.37964,2020-03-17,,0,city,MG,0,0
Juiz de Fora,3136702,2020-03-17,568873,False,False,2,0.35157,2020-03-17,,0,city,MG,0,0
Nova Lima,3144805,2020-03-17,94889,False,False,1,1.05386,2020-03-17,,0,city,MG,1,0
Patrocínio,3148103,2020-03-17,90757,False,False,1,1.10184,2020-03-17,,0,city,MG,0,0
Sete Lagoas,3167202,2020-03-17,239639,False,False,1,0.41729,2020-03-17,,0,city,MG,1,0
Uberlândia,3170206,2020-03-17,691305,False,False,1,0.14465,2020-03-17,,0,city,MG,1,0
Campo Grande,5002704,2020-03-17,895982,False,False,6,0.66966,2020-03-17,,0,city,MS,2,0
Belo Jardim,2601706,2020-03-17,76439,False,False,1,1.30823,2020-03-17,,,city,PE,1,0
Importados/Indefinidos,,2020-03-17,,False,False,2,,2020-03-17,,,city,PE,1,0
Jaboatão dos Guararapes,2607901,2020-03-17,702298,False,False,2,0.28478,2020-03-17,,,city,PE,2,0
Recife,2611606,2020-03-17,1645727,False,False,13,0.78992,2020-03-17,,,city,PE,6,0
Campo Largo,4104204,2020-03-17,132002,False,False,1,0.75756,2020-03-17,,0,city,PR,1,0
Cianorte,4105508,2020-03-17,82620,False,False,2,2.42072,2020-03-17,,0,city,PR,1,0
Curitiba,4106902,2020-03-17,1933105,False,False,7,0.36211,2020-03-17,,0,city,PR,2,0
Londrina,4113700,2020-03-17,569733,False,False,1,0.17552,2020-03-17,,0,city,PR,1,0
Pinhais,4119152,2020-03-17,132157,False,False,1,0.75668,2020-03-17,,0,city,PR,1,0
Barra Mansa,3300407,2020-03-17,184412,True,False,1,0.54226,2020-03-16,,0,city,RJ,0,0
Niterói,3303302,2020-03-17,513584,True,False,1,0.19471,2020-03-16,,0,city,RJ,0,0
Rio de Janeiro,3304557,2020-03-17,6718903,True,False,23,0.34232,2020-03-16,,0,city,RJ,0,0
Natal,2408102,2020-03-17,884122,True,False,1,0.11311,2020-03-16,,0,city,RN,0,0
Campo Bom,4303905,2020-03-17,66712,True,False,1,1.49898,2020-03-16,,0,city,RS,0,0
Caxias do Sul,4305108,2020-03-17,510906,True,False,1,0.19573,2020-03-16,,0,city,RS,0,0
Porto Alegre,4314902,2020-03-17,1483771,True,False,6,0.40438,2020-03-16,,0,city,RS,0,0
Braço do Norte,4202800,2020-03-17,33450,False,False,1,2.98954,2020-03-17,,0,city,SC,0,0
Florianópolis,4205407,2020-03-17,500973,False,False,3,0.59883,2020-03-17,,0,city,SC,0,0
Joinville,4209102,2020-03-17,590466,False,False,1,0.16936,2020-03-17,,0,city,SC,0,0
Rancho Queimado,4214300,2020-03-17,2878,False,False,2,69.4927,2020-03-17,,0,city,SC,0,0
Aracaju,2800308,2020-03-17,657013,True,False,5,0.76102,2020-03-16,,,city,SE,0,0
Carapicuíba,3510609,2020-03-17,400927,False,False,1,0.24942,2020-03-17,,,city,SP,0,0
Ferraz de Vasconcelos,3515707,2020-03-17,194276,False,False,1,0.51473,2020-03-17,,,city,SP,0,0
Guarulhos,3518800,2020-03-17,1379182,False,False,1,0.07251,2020-03-17,,,city,SP,1,0
Mauá,3529401,2020-03-17,472912,False,False,1,0.21146,2020-03-17,,,city,SP,0,0
Santana de Parnaíba,3547304,2020-03-17,139447,False,False,1,0.71712,2020-03-17,,,city,SP,0,0
Santo André,3547809,2020-03-17,718773,False,False,1,0.13913,2020-03-17,,,city,SP,0,0
São Bernardo do Campo,3548708,2020-03-17,838936,False,False,1,0.1192,2020-03-17,,,city,SP,0,0
São Caetano do Sul,3548807,2020-03-17,161127,False,False,1,0.62063,2020-03-17,,,city,SP,0,0
São Paulo,3550308,2020-03-17,12252023,False,False,156,1.27326,2020-03-17,0.0064,1,city,SP,11,1
Rio Branco,1200401,2020-03-18,407319,False,False,3,0.73652,2020-03-18,,0,city,AC,0,0
Maceió,2704302,2020-03-18,1018948,False,False,1,0.09814,2020-03-18,,0,city,AL,0,0
Importados/Indefinidos,,2020-03-18,,False,False,2,,2020-03-18,,,city,AM,1,0
Feira de Santana,2910800,2020-03-18,614872,False,False,5,0.81318,2020-03-18,,0,city,BA,0,0
Porto Seguro,2925303,2020-03-18,148686,False,False,4,2.69023,2020-03-18,,0,city,BA,1,0
Prado,2925501,2020-03-18,28174,False,False,1,3.54937,2020-03-18,,0,city,BA,0,0
Salvador,2927408,2020-03-18,2872347,False,False,17,0.59185,2020-03-18,,0,city,BA,12,0
Aquiraz,2301000,2020-03-18,80271,False,False,1,1.24578,2020-03-18,,0,city,CE,0,0
Fortaleza,2304400,2020-03-18,2669342,False,False,17,0.63686,2020-03-18,,0,city,CE,8,0
Sobral,2312908,2020-03-18,208935,False,False,1,0.47862,2020-03-18,,0,city,CE,1,0
Brasília,5300108,2020-03-18,3015268,False,False,34,1.12759,2020-03-18,,0,city,DF,15,0
Anápolis,5201108,2020-03-18,386923,False,False,2,0.5169,2020-03-18,,0,city,GO,0,0
Aparecida de Goiânia,5201405,2020-03-18,578179,False,False,1,0.17296,2020-03-18,,0,city,GO,1,0
